image,predicted,true
p10_0036_3.jpg,48.08,55.45
p10_0042_7.jpg,32.58,46.00
p10_0044_7.jpg,41.67,43.80
p10_0048_1.jpg,38.16,39.71
p10_0048_8.jpg,64.29,59.70
p10_0052_7.jpg,58.00,70.10
p10_0053_11.jpg,55.00,60.64
p10_0053_5.jpg,30.00,61.11
p10_0053_8.jpg,40.48,59.38
p10_0056_5.jpg,44.00,62.62
p10_0058_1.jpg,53.49,51.61
p10_0058_5.jpg,35.00,61.11
p10_0062_2.jpg,23.64,68.75
p10_0063_10.jpg,40.91,38.71
p10_0066_5.jpg,24.00,60.87
p10_0071_2.jpg,45.45,65.96
p10_0075_6.jpg,62.86,62.50
p10_0078_3.jpg,20.37,46.15
p10_0086_2.jpg,60.00,46.32
p10_0090_6.jpg,52.78,51.13
p10_0098_5.jpg,6.67,12.50
p10_0101_10.jpg,16.67,43.24
p10_0102_10.jpg,31.75,48.72
p11_0057_5.jpg,74.00,57.75
p11_0059_1.jpg,44.44,55.81
p11_0064_1.jpg,56.10,56.00
p11_0064_9.jpg,28.57,64.29
p11_0069_2.jpg,64.62,73.68
p11_0070_6.jpg,35.00,58.49
p11_0072_5.jpg,45.00,55.42
p11_0074_1.jpg,40.00,66.67
p11_0082_1.jpg,17.14,46.15
p11_0089_5.jpg,43.64,65.08
p11_0090_1.jpg,36.11,54.17
p11_0096_5.jpg,43.75,57.33
p11_0101_5.jpg,56.86,52.24
p11_0108_1.jpg,48.00,69.74
p11_0111_7.jpg,55.88,55.13
p11_0114_11.jpg,20.00,44.44
p11_0116_11.jpg,53.33,63.41
p11_0117_3.jpg,36.00,52.78
p11_0118_11.jpg,30.00,55.56
p11_0121_3.jpg,60.00,63.81
p11_0125_5.jpg,30.00,49.23
p11_0128_11.jpg,63.16,69.57
p11_0130_2.jpg,47.50,72.73
p11_0130_7.jpg,64.15,71.19
p11_0131_7.jpg,42.00,60.66
p11_0132_10.jpg,45.00,58.67
p11_0132_5.jpg,47.50,59.76
p11_0133_10.jpg,53.70,58.06
p11_0136_1.jpg,30.77,44.12
p11_0137_3.jpg,40.91,27.85
p12_0124_10.jpg,14.49,15.15
p12_0127_2.jpg,14.86,28.85
p12_0128_2.jpg,28.30,29.51
p12_0130_11.jpg,20.00,30.00
p12_0134_7.jpg,18.29,30.00
p12_0135_9.jpg,25.00,21.74
p12_0140_1.jpg,20.00,40.00
p12_0141_5.jpg,2.50,0.00
p12_0142_3.jpg,21.21,28.07
p12_0143_3.jpg,35.29,34.18
p12_0143_5.jpg,42.86,44.83
p12_0144_3.jpg,29.87,22.68
p12_0152_6.jpg,27.00,24.14
p12_0157_5.jpg,17.11,11.71
p12_0160_3.jpg,13.10,11.46
p12_0162_6.jpg,32.73,38.10
p12_0168_2.jpg,22.00,15.28
p12_0169_2.jpg,29.21,24.21
p12_0170_1.jpg,30.65,37.93
p12_0170_7.jpg,21.54,27.27
p12_0171_5.jpg,25.45,31.11
p12_0171_7.jpg,15.25,22.50
p12_0172_1.jpg,18.75,20.00
p12_0172_11.jpg,12.00,12.12
p12_0172_9.jpg,22.39,25.35
p12_0174_1.jpg,19.39,20.35
p12_0174_10.jpg,33.33,43.24
p12_0175_6.jpg,31.82,25.00
p12_0178_2.jpg,15.91,13.79
p12_0178_9.jpg,22.97,14.75
p12_0179_10.jpg,12.33,20.00
p12_0182_9.jpg,14.29,22.22
p12_0183_10.jpg,18.52,18.75
p13_0072_6.jpg,25.93,17.82
p13_0075_3.jpg,13.51,15.46
p13_0076_10.jpg,18.82,15.31
p13_0076_2.jpg,18.75,6.45
p13_0081_10.jpg,8.57,0.00
p13_0083_10.jpg,25.71,57.50
p13_0083_7.jpg,48.15,39.02
p13_0084_3.jpg,31.82,27.40
p13_0084_7.jpg,34.69,22.89
p13_0085_2.jpg,17.31,16.36
p13_0087_6.jpg,41.86,35.21
p13_0089_1.jpg,22.39,26.26
p13_0089_6.jpg,18.18,26.23
p13_0091_11.jpg,32.81,17.76
p13_0093_11.jpg,34.21,23.21
p13_0093_6.jpg,23.33,21.74
p13_0096_6.jpg,20.00,15.96
p13_0096_9.jpg,23.08,23.19
p13_0101_5.jpg,29.63,42.59
p13_0102_3.jpg,41.43,34.78
p13_0103_6.jpg,39.02,33.64
p13_0111_1.jpg,23.64,20.90
p13_0113_7.jpg,32.26,31.76
p13_0115_1.jpg,31.88,27.27
p13_0115_10.jpg,27.27,30.11
p13_0115_3.jpg,26.19,25.00
p13_0115_8.jpg,28.57,22.62
p13_0117_6.jpg,27.42,30.09
p13_0122_1.jpg,30.53,39.13
p13_0123_6.jpg,43.42,35.71
p13_0124_7.jpg,35.00,36.13
p13_0126_9.jpg,21.67,14.46
