image,predicted,true
p10_0035_9.jpg,35.71,33.33
p10_0036_3.jpg,36.36,55.45
p10_0042_7.jpg,32.00,46.00
p10_0044_7.jpg,38.89,43.80
p10_0048_1.jpg,28.21,39.71
p10_0048_8.jpg,47.54,59.70
p10_0050_6.jpg,16.67,50.00
p10_0052_7.jpg,43.52,70.10
p10_0053_11.jpg,41.59,60.64
p10_0053_5.jpg,47.62,61.11
p10_0053_8.jpg,39.39,59.38
p10_0056_5.jpg,46.53,62.62
p10_0058_1.jpg,43.33,51.61
p10_0058_5.jpg,37.50,61.11
p10_0062_2.jpg,15.15,68.75
p10_0063_10.jpg,37.78,38.71
p10_0066_5.jpg,37.14,60.87
p10_0071_2.jpg,34.69,65.96
p10_0075_6.jpg,42.86,62.50
p10_0078_3.jpg,23.64,46.15
p10_0086_2.jpg,34.78,46.32
p10_0090_6.jpg,38.89,51.13
p10_0094_1.jpg,42.86,80.00
p10_0098_5.jpg,6.67,12.50
p10_0101_10.jpg,13.33,43.24
p10_0102_10.jpg,37.04,48.72
p11_0057_5.jpg,67.92,57.75
p11_0059_1.jpg,56.67,55.81
p11_0064_1.jpg,38.46,56.00
p11_0064_9.jpg,52.38,64.29
p11_0069_2.jpg,64.06,73.68
p11_0070_6.jpg,37.21,58.49
p11_0072_5.jpg,45.45,55.42
p11_0074_1.jpg,33.33,66.67
p11_0082_1.jpg,15.00,46.15
p11_0089_5.jpg,47.06,65.08
p11_0090_1.jpg,37.14,54.17
p11_0096_5.jpg,56.25,57.33
p11_0101_5.jpg,51.52,52.24
p11_0108_1.jpg,47.92,69.74
p11_0111_7.jpg,51.11,55.13
p11_0114_11.jpg,24.64,44.44
p11_0116_11.jpg,45.95,63.41
p11_0117_3.jpg,40.00,52.78
p11_0118_11.jpg,41.18,55.56
p11_0121_3.jpg,62.96,63.81
p11_0125_5.jpg,37.93,49.23
p11_0128_11.jpg,55.10,69.57
p11_0130_2.jpg,33.33,72.73
p11_0130_7.jpg,54.24,71.19
p11_0131_7.jpg,52.94,60.66
p11_0132_10.jpg,41.38,58.67
p11_0132_5.jpg,59.26,59.76
p11_0133_10.jpg,61.54,58.06
p11_0136_1.jpg,38.46,44.12
p11_0137_3.jpg,32.00,27.85
p12_0124_10.jpg,10.84,15.15
p12_0127_2.jpg,22.64,28.85
p12_0128_2.jpg,28.99,29.51
p12_0130_11.jpg,10.00,30.00
p12_0134_7.jpg,19.40,30.00
p12_0135_9.jpg,24.07,21.74
p12_0140_1.jpg,5.88,40.00
p12_0141_5.jpg,0.00,0.00
p12_0142_3.jpg,16.46,28.07
p12_0143_3.jpg,28.95,34.18
p12_0143_5.jpg,39.51,44.83
p12_0144_3.jpg,16.50,22.68
p12_0152_6.jpg,23.29,24.14
p12_0157_5.jpg,17.65,11.71
p12_0160_3.jpg,16.46,11.46
p12_0162_6.jpg,18.42,38.10
p12_0168_11.jpg,5.88,0.00
p12_0168_2.jpg,9.59,15.28
p12_0169_2.jpg,19.51,24.21
p12_0170_1.jpg,24.19,37.93
p12_0170_7.jpg,20.41,27.27
p12_0171_5.jpg,27.66,31.11
p12_0171_7.jpg,15.15,22.50
p12_0172_1.jpg,7.69,20.00
p12_0172_11.jpg,11.11,12.12
p12_0172_9.jpg,22.50,25.35
p12_0174_1.jpg,15.00,20.35
p12_0174_10.jpg,24.07,43.24
p12_0175_6.jpg,21.67,25.00
p12_0178_2.jpg,11.67,13.79
p12_0178_9.jpg,16.46,14.75
p12_0179_10.jpg,14.94,20.00
p12_0182_9.jpg,14.58,22.22
p12_0183_10.jpg,11.54,18.75
p13_0072_6.jpg,22.22,17.82
p13_0075_3.jpg,12.00,15.46
p13_0076_10.jpg,15.91,15.31
p13_0076_2.jpg,11.32,6.45
p13_0081_10.jpg,3.03,0.00
p13_0083_10.jpg,25.00,57.50
