image,predicted,true
0.jpg,32.00,23.19
1.jpg,18.00,17.43
10.jpg,30.00,45.92
100.jpg,70.00,53.16
101.jpg,78.00,73.97
102.jpg,67.00,65.36
103.jpg,60.20,76.82
104.jpg,90.10,91.67
105.jpg,89.39,69.23
106.jpg,53.33,65.33
107.jpg,71.08,71.05
108.jpg,72.84,82.95
109.jpg,71.95,78.20
11.jpg,35.00,30.85
110.jpg,72.84,78.81
111.jpg,78.00,76.06
112.jpg,76.47,56.40
113.jpg,70.91,66.08
114.jpg,39.00,41.80
115.jpg,41.00,50.00
116.jpg,28.00,37.10
117.jpg,32.00,31.55
118.jpg,32.00,30.46
119.jpg,32.00,34.94
12.jpg,60.20,46.05
120.jpg,28.00,27.91
121.jpg,28.00,25.15
122.jpg,32.00,35.35
123.jpg,59.00,70.72
124.jpg,41.60,53.63
125.jpg,68.00,62.05
126.jpg,70.00,52.21
127.jpg,59.00,43.33
128.jpg,78.00,58.94
129.jpg,59.00,36.06
13.jpg,59.00,34.64
130.jpg,59.00,34.58
131.jpg,74.55,70.43
132.jpg,29.50,35.65
133.jpg,27.83,23.53
134.jpg,24.00,25.17
135.jpg,30.83,31.78
136.jpg,28.00,35.77
137.jpg,11.00,16.26
138.jpg,24.00,20.45
139.jpg,23.70,23.55
14.jpg,32.00,39.53
140.jpg,59.00,57.96
141.jpg,32.00,66.48
142.jpg,42.00,67.52
143.jpg,56.92,61.81
144.jpg,59.00,58.06
145.jpg,36.65,50.00
146.jpg,59.00,51.89
147.jpg,39.33,44.40
148.jpg,59.00,70.41
149.jpg,29.50,36.18
15.jpg,59.00,46.04
150.jpg,59.00,43.96
151.jpg,39.09,37.04
152.jpg,33.08,38.73
153.jpg,25.71,34.33
154.jpg,27.83,33.61
155.jpg,30.00,31.97
156.jpg,25.00,32.63
157.jpg,37.00,51.16
158.jpg,60.20,57.14
159.jpg,59.00,57.34
16.jpg,59.42,46.40
160.jpg,70.00,66.03
163.jpg,89.39,87.27
164.jpg,21.54,14.63
165.jpg,8.33,24.00
167.jpg,7.00,8.79
168.jpg,9.00,13.92
169.jpg,9.00,7.25
17.jpg,40.00,33.06
170.jpg,59.00,28.17
171.jpg,35.00,26.15
172.jpg,24.67,19.54
173.jpg,59.00,28.77
174.jpg,21.00,26.13
175.jpg,12.00,13.33
176.jpg,22.94,21.40
177.jpg,37.00,31.93
178.jpg,35.00,28.21
179.jpg,35.00,21.80
18.jpg,58.18,79.76
180.jpg,36.00,25.90
181.jpg,35.00,27.01
182.jpg,20.50,15.98
183.jpg,14.00,18.04
