image,predicted,true
p10_0036_3.jpg,35.00,55.45
p10_0042_7.jpg,28.00,46.00
p10_0044_7.jpg,30.83,43.80
p10_0048_1.jpg,25.71,39.71
p10_0048_8.jpg,41.79,59.70
p10_0050_6.jpg,16.67,50.00
p10_0052_7.jpg,59.00,70.10
p10_0053_11.jpg,52.00,60.64
p10_0053_5.jpg,32.00,61.11
p10_0053_8.jpg,58.06,59.38
p10_0056_5.jpg,59.00,62.62
p10_0058_1.jpg,22.00,51.61
p10_0058_5.jpg,30.00,61.11
p10_0062_2.jpg,11.00,68.75
p10_0063_10.jpg,27.12,38.71
p10_0066_5.jpg,25.58,60.87
p10_0071_2.jpg,28.33,65.96
p10_0075_6.jpg,32.00,62.50
p10_0078_3.jpg,21.67,46.15
p10_0086_2.jpg,32.00,46.32
p10_0090_6.jpg,59.00,51.13
p10_0094_1.jpg,41.67,80.00
p10_0098_5.jpg,10.00,12.50
p10_0101_10.jpg,10.00,43.24
p10_0102_10.jpg,21.21,48.72
p11_0057_5.jpg,74.29,57.75
p11_0059_1.jpg,26.00,55.81
p11_0064_1.jpg,30.00,56.00
p11_0064_9.jpg,16.00,64.29
p11_0069_2.jpg,59.00,73.68
p11_0070_6.jpg,42.00,58.49
p11_0072_5.jpg,31.58,55.42
p11_0074_1.jpg,18.75,66.67
p11_0082_1.jpg,9.00,46.15
p11_0089_5.jpg,21.43,65.08
p11_0090_1.jpg,30.91,54.17
p11_0096_5.jpg,53.33,57.33
p11_0101_5.jpg,53.33,52.24
p11_0108_1.jpg,28.00,69.74
p11_0111_7.jpg,42.67,55.13
p11_0114_11.jpg,13.00,44.44
p11_0116_11.jpg,45.00,63.41
p11_0117_3.jpg,26.00,52.78
p11_0118_11.jpg,22.50,55.56
p11_0121_3.jpg,57.33,63.81
p11_0125_5.jpg,21.43,49.23
p11_0128_11.jpg,36.00,69.57
p11_0130_2.jpg,23.33,72.73
p11_0130_7.jpg,38.00,71.19
p11_0131_7.jpg,28.00,60.66
p11_0132_10.jpg,35.00,58.67
p11_0132_5.jpg,40.00,59.76
p11_0133_10.jpg,53.33,58.06
p11_0136_1.jpg,20.00,44.12
p11_0137_3.jpg,22.50,27.85
p12_0124_10.jpg,9.00,15.15
p12_0127_2.jpg,18.00,28.85
p12_0128_2.jpg,22.00,29.51
p12_0130_11.jpg,6.00,30.00
p12_0134_7.jpg,13.33,30.00
p12_0135_9.jpg,13.33,21.74
p12_0140_1.jpg,5.00,40.00
p12_0141_5.jpg,3.33,0.00
p12_0142_3.jpg,12.86,28.07
p12_0143_3.jpg,25.71,34.18
p12_0143_5.jpg,37.33,44.83
p12_0144_3.jpg,12.22,22.68
p12_0152_6.jpg,25.71,24.14
p12_0157_5.jpg,9.00,11.71
p12_0160_3.jpg,14.29,11.46
p12_0162_6.jpg,14.00,38.10
p12_0168_11.jpg,5.00,0.00
p12_0168_2.jpg,10.00,15.28
p12_0169_2.jpg,13.00,24.21
p12_0170_1.jpg,30.77,37.93
p12_0170_7.jpg,16.92,27.27
p12_0171_5.jpg,24.00,31.11
p12_0171_7.jpg,11.67,22.50
p12_0172_1.jpg,15.38,20.00
p12_0172_11.jpg,7.50,12.12
p12_0172_9.jpg,20.00,25.35
