image:p10_0036_3.jpg, predicted:50.00, true:55.45
image:p10_0042_7.jpg, predicted:46.21, true:46.00
image:p10_0044_7.jpg, predicted:52.00, true:43.80
image:p10_0048_1.jpg, predicted:40.21, true:39.71
image:p10_0048_8.jpg, predicted:51.54, true:59.70
image:p10_0052_7.jpg, predicted:52.00, true:70.10
image:p10_0053_11.jpg, predicted:52.00, true:60.64
image:p10_0053_5.jpg, predicted:71.83, true:61.11
image:p10_0053_8.jpg, predicted:40.21, true:59.38
image:p10_0056_5.jpg, predicted:63.41, true:62.62
image:p10_0058_1.jpg, predicted:39.00, true:51.61
image:p10_0058_5.jpg, predicted:40.21, true:61.11
image:p10_0062_2.jpg, predicted:28.00, true:68.75
image:p10_0063_10.jpg, predicted:46.21, true:38.71
image:p10_0066_5.jpg, predicted:29.47, true:60.87
image:p10_0071_2.jpg, predicted:51.00, true:65.96
image:p10_0075_6.jpg, predicted:51.72, true:62.50
image:p10_0078_3.jpg, predicted:28.87, true:46.15
image:p10_0086_2.jpg, predicted:51.54, true:46.32
image:p10_0090_6.jpg, predicted:52.00, true:51.13
image:p10_0098_5.jpg, predicted:30.00, true:12.50
image:p10_0101_10.jpg, predicted:28.00, true:43.24
image:p10_0102_10.jpg, predicted:42.86, true:48.72
image:p11_0057_5.jpg, predicted:76.99, true:57.75
image:p11_0064_1.jpg, predicted:52.00, true:56.00
image:p11_0064_9.jpg, predicted:30.00, true:64.29
image:p11_0069_2.jpg, predicted:78.00, true:73.68
image:p11_0070_6.jpg, predicted:32.50, true:58.49
image:p11_0072_5.jpg, predicted:52.00, true:55.42
image:p11_0074_1.jpg, predicted:55.83, true:66.67
image:p11_0082_1.jpg, predicted:31.11, true:46.15
image:p11_0089_5.jpg, predicted:67.00, true:65.08
image:p11_0090_1.jpg, predicted:59.09, true:54.17
image:p11_0096_5.jpg, predicted:70.53, true:57.33
image:p11_0101_5.jpg, predicted:51.00, true:52.24
image:p11_0108_1.jpg, predicted:78.00, true:69.74
image:p11_0111_7.jpg, predicted:52.00, true:55.13
image:p11_0114_11.jpg, predicted:28.00, true:44.44
image:p11_0117_3.jpg, predicted:39.00, true:52.78
image:p11_0118_11.jpg, predicted:67.00, true:55.56
image:p11_0125_5.jpg, predicted:55.71, true:49.23
image:p11_0128_11.jpg, predicted:51.00, true:69.57
image:p11_0130_2.jpg, predicted:31.11, true:72.73
image:p11_0130_7.jpg, predicted:37.14, true:71.19
image:p11_0131_7.jpg, predicted:78.00, true:60.66
image:p11_0132_10.jpg, predicted:55.71, true:58.67
image:p11_0132_5.jpg, predicted:78.00, true:59.76
image:p11_0133_10.jpg, predicted:78.00, true:58.06
image:p11_0136_1.jpg, predicted:47.27, true:44.12
image:p11_0137_3.jpg, predicted:51.00, true:27.85
image:p12_0124_10.jpg, predicted:16.67, true:15.15
image:p12_0127_2.jpg, predicted:30.40, true:28.85
image:p12_0128_2.jpg, predicted:30.71, true:29.51
image:p12_0134_7.jpg, predicted:29.47, true:30.00
image:p12_0135_9.jpg, predicted:32.50, true:21.74
image:p12_0140_1.jpg, predicted:15.15, true:40.00
image:p12_0141_5.jpg, predicted:28.00, true:0.00
image:p12_0142_3.jpg, predicted:40.00, true:28.07
image:p12_0143_3.jpg, predicted:32.50, true:34.18
image:p12_0143_5.jpg, predicted:52.00, true:44.83
image:p12_0144_3.jpg, predicted:30.00, true:22.68
image:p12_0152_6.jpg, predicted:33.33, true:24.14
image:p12_0157_5.jpg, predicted:20.74, true:11.71
image:p12_0160_3.jpg, predicted:24.35, true:11.46
image:p12_0162_6.jpg, predicted:39.53, true:38.10
image:p12_0168_2.jpg, predicted:28.00, true:15.28
image:p12_0169_2.jpg, predicted:28.00, true:24.21
image:p12_0170_1.jpg, predicted:32.00, true:37.93
image:p12_0170_7.jpg, predicted:31.11, true:27.27
image:p12_0171_5.jpg, predicted:31.11, true:31.11
image:p12_0171_7.jpg, predicted:22.50, true:22.50
image:p12_0172_1.jpg, predicted:16.67, true:20.00
image:p12_0172_11.jpg, predicted:18.00, true:12.12
image:p12_0172_9.jpg, predicted:24.14, true:25.35
image:p12_0174_1.jpg, predicted:20.29, true:20.35
image:p12_0174_10.jpg, predicted:31.11, true:43.24
image:p12_0175_6.jpg, predicted:32.00, true:25.00
image:p12_0178_2.jpg, predicted:20.74, true:13.79
image:p12_0178_9.jpg, predicted:31.11, true:14.75
image:p12_0179_10.jpg, predicted:20.59, true:20.00
image:p12_0182_9.jpg, predicted:29.47, true:22.22
image:p12_0183_10.jpg, predicted:16.67, true:18.75
image:p13_0072_6.jpg, predicted:24.35, true:17.82
image:p13_0075_3.jpg, predicted:28.00, true:15.46
image:p13_0076_10.jpg, predicted:26.67, true:15.31
image:p13_0076_2.jpg, predicted:22.50, true:6.45
image:p13_0083_10.jpg, predicted:32.08, true:57.50
image:p13_0083_7.jpg, predicted:46.21, true:39.02
image:p13_0084_3.jpg, predicted:26.00, true:27.40
image:p13_0084_7.jpg, predicted:30.00, true:22.89
image:p13_0085_2.jpg, predicted:29.47, true:16.36
image:p13_0087_6.jpg, predicted:33.33, true:35.21
image:p13_0089_1.jpg, predicted:30.40, true:26.26
image:p13_0089_6.jpg, predicted:24.35, true:26.23
image:p13_0091_11.jpg, predicted:51.32, true:17.76
image:p13_0093_11.jpg, predicted:26.00, true:23.21
image:p13_0093_6.jpg, predicted:32.50, true:21.74
image:p13_0096_6.jpg, predicted:30.71, true:15.96
image:p13_0096_9.jpg, predicted:36.96, true:23.19
image:p13_0101_5.jpg, predicted:35.45, true:42.59
image:p13_0102_3.jpg, predicted:36.96, true:34.78
image:p13_0103_6.jpg, predicted:46.21, true:33.64
image:p13_0111_1.jpg, predicted:30.95, true:20.90
image:p13_0113_7.jpg, predicted:30.95, true:31.76
image:p13_0115_1.jpg, predicted:34.81, true:27.27
image:p13_0115_10.jpg, predicted:25.00, true:30.11
image:p13_0115_3.jpg, predicted:31.11, true:25.00
image:p13_0115_8.jpg, predicted:30.71, true:22.62
image:p13_0117_6.jpg, predicted:37.22, true:30.09
image:p13_0122_1.jpg, predicted:33.33, true:39.13
image:p13_0123_6.jpg, predicted:51.54, true:35.71
image:p13_0124_7.jpg, predicted:46.21, true:36.13
image:p13_0126_9.jpg, predicted:20.74, true:14.46
image:p13_0127_1.jpg, predicted:31.11, true:34.29
image:p13_0135_7.jpg, predicted:40.00, true:23.71
image:p13_0136_3.jpg, predicted:40.00, true:30.00
image:p13_0139_11.jpg, predicted:46.21, true:17.82
image:p14_0001_1.jpg, predicted:3.74, true:2.48
image:p14_0002_11.jpg, predicted:22.50, true:12.50
image:p14_0003_9.jpg, predicted:22.50, true:31.25
image:p14_0006_11.jpg, predicted:6.25, true:14.29
image:p14_0010_6.jpg, predicted:36.36, true:38.89
image:p14_0011_5.jpg, predicted:10.45, true:40.00
image:p14_0016_11.jpg, predicted:32.50, true:0.00
image:p14_0016_6.jpg, predicted:28.00, true:17.95
image:p14_0017_9.jpg, predicted:16.98, true:9.26
image:p14_0022_6.jpg, predicted:30.71, true:11.36
image:p14_0023_7.jpg, predicted:14.29, true:5.71
image:p14_0027_1.jpg, predicted:30.00, true:6.67
image:p14_0027_10.jpg, predicted:3.23, true:10.00
