image,predicted,true
p10_0036_3.jpg,50.00,55.45
p10_0042_7.jpg,46.21,46.00
p10_0044_7.jpg,52.00,43.80
p10_0048_1.jpg,40.21,39.71
p10_0048_8.jpg,51.54,59.70
p10_0052_7.jpg,52.00,70.10
p10_0053_11.jpg,52.00,60.64
p10_0053_5.jpg,71.83,61.11
p10_0053_8.jpg,40.21,59.38
p10_0056_5.jpg,63.41,62.62
p10_0058_1.jpg,39.00,51.61
p10_0058_5.jpg,40.21,61.11
p10_0062_2.jpg,28.00,68.75
p10_0063_10.jpg,46.21,38.71
p10_0066_5.jpg,29.47,60.87
p10_0071_2.jpg,51.00,65.96
p10_0075_6.jpg,51.72,62.50
p10_0078_3.jpg,28.87,46.15
p10_0086_2.jpg,51.54,46.32
p10_0090_6.jpg,52.00,51.13
p10_0098_5.jpg,30.00,12.50
p10_0101_10.jpg,28.00,43.24
p10_0102_10.jpg,42.86,48.72
p11_0057_5.jpg,76.99,57.75
p11_0064_1.jpg,52.00,56.00
p11_0064_9.jpg,30.00,64.29
p11_0069_2.jpg,78.00,73.68
p11_0070_6.jpg,32.50,58.49
p11_0072_5.jpg,52.00,55.42
p11_0074_1.jpg,55.83,66.67
p11_0082_1.jpg,31.11,46.15
p11_0089_5.jpg,67.00,65.08
p11_0090_1.jpg,59.09,54.17
p11_0096_5.jpg,70.53,57.33
p11_0101_5.jpg,51.00,52.24
p11_0108_1.jpg,78.00,69.74
p11_0111_7.jpg,52.00,55.13
p11_0114_11.jpg,28.00,44.44
p11_0117_3.jpg,39.00,52.78
p11_0118_11.jpg,67.00,55.56
p11_0125_5.jpg,55.71,49.23
p11_0128_11.jpg,51.00,69.57
p11_0130_2.jpg,31.11,72.73
p11_0130_7.jpg,37.14,71.19
p11_0131_7.jpg,78.00,60.66
p11_0132_10.jpg,55.71,58.67
p11_0132_5.jpg,78.00,59.76
p11_0133_10.jpg,78.00,58.06
p11_0136_1.jpg,47.27,44.12
p11_0137_3.jpg,51.00,27.85
p12_0124_10.jpg,16.67,15.15
p12_0127_2.jpg,30.40,28.85
p12_0128_2.jpg,30.71,29.51
p12_0134_7.jpg,29.47,30.00
p12_0135_9.jpg,32.50,21.74
p12_0140_1.jpg,15.15,40.00
p12_0141_5.jpg,28.00,0.00
p12_0142_3.jpg,40.00,28.07
p12_0143_3.jpg,32.50,34.18
p12_0143_5.jpg,52.00,44.83
p12_0144_3.jpg,30.00,22.68
p12_0152_6.jpg,33.33,24.14
p12_0157_5.jpg,20.74,11.71
p12_0160_3.jpg,24.35,11.46
p12_0162_6.jpg,39.53,38.10
p12_0168_2.jpg,28.00,15.28
p12_0169_2.jpg,28.00,24.21
p12_0170_1.jpg,32.00,37.93
p12_0170_7.jpg,31.11,27.27
p12_0171_5.jpg,31.11,31.11
p12_0171_7.jpg,22.50,22.50
p12_0172_1.jpg,16.67,20.00
p12_0172_11.jpg,18.00,12.12
p12_0172_9.jpg,24.14,25.35
p12_0174_1.jpg,20.29,20.35
p12_0174_10.jpg,31.11,43.24
p12_0175_6.jpg,32.00,25.00
p12_0178_2.jpg,20.74,13.79
p12_0178_9.jpg,31.11,14.75
p12_0179_10.jpg,20.59,20.00
p12_0182_9.jpg,29.47,22.22
p12_0183_10.jpg,16.67,18.75
p13_0072_6.jpg,24.35,17.82
p13_0075_3.jpg,28.00,15.46
p13_0076_10.jpg,26.67,15.31
p13_0076_2.jpg,22.50,6.45
p13_0083_10.jpg,32.08,57.50
p13_0083_7.jpg,46.21,39.02
p13_0084_3.jpg,26.00,27.40
p13_0084_7.jpg,30.00,22.89
p13_0085_2.jpg,29.47,16.36
p13_0087_6.jpg,33.33,35.21
p13_0089_1.jpg,30.40,26.26
p13_0089_6.jpg,24.35,26.23
p13_0091_11.jpg,51.32,17.76
p13_0093_11.jpg,26.00,23.21
p13_0093_6.jpg,32.50,21.74
p13_0096_6.jpg,30.71,15.96
p13_0096_9.jpg,36.96,23.19
p13_0101_5.jpg,35.45,42.59
p13_0102_3.jpg,36.96,34.78
p13_0103_6.jpg,46.21,33.64
p13_0111_1.jpg,30.95,20.90
p13_0113_7.jpg,30.95,31.76
p13_0115_1.jpg,34.81,27.27
p13_0115_10.jpg,25.00,30.11
p13_0115_3.jpg,31.11,25.00
p13_0115_8.jpg,30.71,22.62
p13_0117_6.jpg,37.22,30.09
p13_0122_1.jpg,33.33,39.13
p13_0123_6.jpg,51.54,35.71
p13_0124_7.jpg,46.21,36.13
p13_0126_9.jpg,20.74,14.46
p13_0127_1.jpg,31.11,34.29
p13_0135_7.jpg,40.00,23.71
